,parsed,entities,labels,position_start,position_end,has_terms
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8005519\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Kantonale Ethikkommission Kanton Bern. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,[Kantonale Ethikkommission Kanton Bern],['ORG'],[71],[108],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8011658\sections\1_body\5_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8012510\sections\1_body\1_method\1_ethical_considerations\1_p.xml,"The study was approved by the ethical committee at the Pedagogical University of Krakow and by the school board of the special education center in which it was conducted. During school enrolment, the parents or primary caregivers of all the participants in the survey gave their written consent to receive an invitation to participate in scientific research. Detailed information about this study was given during telephone conversations and consent was obtained orally from the participants. The participants were informed that they could withdraw from the study at any time. The data was kept and used in accordance with the General Data Protection and Regulation Law in force (
 ","[the Pedagogical University of Krakow, the General Data Protection and Regulation Law]","['ORG', 'ORG']","[51, 623]","[87, 669]",ethical committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8012510\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics Committee at the Institute of Psychology, Pedagogical University of Kraków. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.","[Ethics Committee, the Institute of Psychology, Pedagogical University of Kraków]","['ORG', 'ORG']","[71, 91]","[87, 152]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8017196\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Medical Ethics Committee of Xianyang Caihong Hospital. Written informed consent from the participants' legal guardian/next of kin was not required to participate in this study in accordance with the national legislation and the institutional requirements.,[the Medical Ethics Committee],['ORG'],[71],[99],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8019914\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Committee of the Zhejiang Cancer Hospital. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[the Ethics Committee of, the Zhejiang Cancer Hospital]","['ORG', 'ORG']","[71, 95]","[94, 123]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8020902\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of the Affiliated Hospital of Xuzhou Medical University. The patients/participants provided their written informed consent to participate in this study.,"[the Affiliated Hospital of, Xuzhou Medical University]","['ORG', 'ORG']","[95, 122]","[121, 147]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8023327\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of the General Hospital of Central Theater Command. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[the General Hospital of Central Theater Command],['ORG'],[95],[142],ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027102\sections\1_body\1_case_report\1_p.xml,"Written informed consent was obtained from the patient for the publication of any potentially identifiable images or data included in this article. The report was approved by the ethics committee of the First Affiliated Hospital, Zhejiang University School of Medicine (Approved number: IIT-2020-664).","[the First Affiliated Hospital,, Zhejiang University School of Medicine]","['ORG', 'ORG']","[199, 230]","[229, 268]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027102\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the patient for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027481\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Fourth Affiliated Hospital of Harbin Medical University. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[Ethics Committee, the Fourth Affiliated Hospital, Harbin Medical University]","['ORG', 'FAC', 'ORG']","[71, 91, 125]","[87, 121, 150]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8032858\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Bahrain National Covid-19 Taskforce Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,"[Bahrain National, Taskforce Ethics Committee]","['ORG', 'ORG']","[71, 97]","[87, 123]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8033151\sections\1_body\1_methods\1_patients\1_p.xml,"From January 2011 to December 2017, the current study enrolled 250 patients who would receive hepatectomy at the Department of Hepatobiliary Surgery, Inner Mongolia Xing'an Meng People's Hospital. Inclusion criteria contained the following: (1) partial or half hepatectomy (either right or left lobe); (2) hepatic function: Child-Pugh A or B; (3) physical status: American Society of Anaesthesiologists (ASA) I to III; and (4) no main concomitant operation, such as bowel, gastro, or bile duct resection. Exclusion criteria were the following: (1) unwillingness to participate; (2) hepatic function: Child–Pugh C; (3) physical status: ASA IV or V; or (4) involved the inferior vena cava or confluence of the hepatic vein. The study protocol was approved by the Ethics Committee of Inner Mongolia Xing'an Meng People's Hospital. All participants provided written informed consent. Clinical investigation was conducted according to the principles of the Declaration of Helsinki.","[January 2011, December 2017, 250, the Department of Hepatobiliary Surgery, Inner Mongolia, People's Hospital, 1, half, 2, 3, American Society of Anaesthesiologists, 4, 1, 2, 3, 4, the Ethics Committee of Inner Mongolia Xing'an, People's Hospital, the Declaration of Helsinki]","['DATE', 'DATE', 'CARDINAL', 'ORG', 'LOC', 'ORG', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'ORG', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'ORG', 'ORG', 'WORK_OF_ART']","[5, 21, 63, 109, 150, 178, 242, 256, 303, 344, 364, 424, 545, 579, 615, 652, 757, 809, 948]","[17, 34, 66, 148, 164, 195, 243, 260, 304, 345, 402, 425, 546, 580, 616, 653, 803, 826, 975]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8033151\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of Inner Mongolia Xing'an Meng People's Hospital. The patients/participants provided their written informed consent to participate in this study.,"[Ethics Committee, People's Hospital]","['ORG', 'ORG']","[71, 119]","[87, 136]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8042130\sections\1_body\1_materials_and_methods\10_statistical_analysis\1_p.xml,"Data distribution and normality will be assessed with Shapiro-Wilk test. Continuous variables will be presented as mean ± standard deviation or median (interquartile ranges), depending on their distribution. Categorical variables will be presented as number (percentages). All analyses will follow the intention-to-treat principle, which includes all participants after randomization and excludes the patients who drop out of the study due to withdrawal of informed consent or cancellation of surgery. The per-protocol analysis will be carried out as a sensitivity analysis, which includes all participants with planned interventions and minimal protocol violation. As we expect that the missing data will be uncommon in our dataset, there will be no plan for imputation of missing data.","[Shapiro-Wilk, ±]","['ORG', 'NORP']","[54, 120]","[66, 121]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8042130\sections\1_body\1_materials_and_methods\2_ethics_and_dissemination\1_p.xml,"The study protocol is approved by the Medical Ethics Committee of The First Affiliated Hospital of Soochow University (Approval No. 2020-077-1) and by the institutional ethics review board of each participating center. This study is registered at the Chinese Clinical Trials Registry on October 25, 2020 (
 ","[the Medical Ethics Committee, the Chinese Clinical Trials Registry, October 25, 2020]","['ORG', 'ORG', 'DATE']","[34, 247, 287]","[62, 283, 303]",ethics review
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8042130\sections\1_body\1_materials_and_methods\3_participants\1_p.xml,"At each study center, an independent preoperative investigator who is not involved in patient care or data management will screen patients' admission records to identify potentially qualified participants. Patients who meet the eligibility criteria and provide their written informed consent will be included in this study. According to the sample size estimation, a total of 2,036 eligible patients who plan to undergo non-cardiac surgical procedures will be randomly assigned, in a 1:1 ratio, to an ACEIs/ARBs continued group or an ACEIs/ARBs withheld group. Patients can withdraw their consent at any time during this study. The patient recruitment started on November 1, 2020. The expected date for completion of recruitment is December 2023. The flow chart of participants is shown in 
 ","[2,036, 1:1, November 1, 2020, December 2023]","['CARDINAL', 'CARDINAL', 'DATE', 'DATE']","[376, 484, 663, 732]","[381, 487, 679, 745]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8042130\sections\1_body\3_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Medical Ethics Committee of The First Affiliated Hospital of Soochow University. The patients/participants provided their written informed consent to participate in this study.,[Medical Ethics Committee],['ORG'],[71],[95],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8044422\sections\1_body\6_ethics_statement\1_p.xml,The ethics for this study was reviewed and approved by Tallaght University Hospital & St James's Hospital joint research ethics committee (2019-09 List 35(01)). Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,"[Tallaght University Hospital & St, 2019-09]","['ORG', 'DATE']","[55, 139]","[88, 146]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8044765\sections\1_body\4_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Medical Ethics Committee of the Third Affiliated Hospital of Sun Yat-sen University. Written informed consent to participate in this study was provided by the participants’ legal guardian/next of kin. Written informed consent was obtained from the participant’s next of kin for the publication of this case report, including any identifiable data or images included in this study.","[the Medical Ethics Committee, the Third Affiliated Hospital of Sun Yat-sen University]","['ORG', 'ORG']","[71, 103]","[99, 158]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8060433\sections\1_body\8_ethics_statement\1_p.xml,"Human research was approved by the Ethics Committee of Chengdu Second People's Hospital. The authors certify that they have obtained all appropriate patient consent forms and patients provided consent, confirming that their clinical information could be reported in journal articles.",[the Ethics Committee of Chengdu Second People's Hospital],['ORG'],[31],[87],consent form
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8060638\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The ethics committee of the Second Affiliated Hospital of Soochow University. The patients/participants provided their written informed consent to participate in this study.,[the Second Affiliated Hospital of Soochow University],['ORG'],[95],[147],ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8062708\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by IMDEA Networks Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,[IMDEA Networks Ethics Committee],['ORG'],[71],[102],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8062769\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Royal Brisbane and Women's hospital human research ethics committee. The patients/participants provided their written informed consent to participate in this study.,[Royal Brisbane],['ORG'],[71],[85],ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8076538\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of Teikyo University School of Medicine (TR 20-078). The patients/participants provided their written informed consent to participate in this study.,[Teikyo University School of Medicine (TR],['ORG'],[95],[135],ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8079727\sections\1_body\1_methods_and_materials\7_standard_protocol_approva\1_p.xml,"The study was performed in accordance with the Helsinki II Declaration. The study protocol, including the patient information and consent form, was approved by the local ethics committee of each participating institution (Leading ethics committee: Ethics committee of the Medical Faculty of the Ludwig Maximilians University, Munich, Germany; reference number: 17-477, and subsequently by the Ethics committee of AZ ST JAN, Brugge Oostende, Belgium, AV Ethics committee OG 065, BUN: 8049201835209 Int. Nr.2247, which required modifications of the protocol; date of final approval: May 17th, 2018). All participants gave written informed consent.","[the Helsinki II Declaration, the Medical Faculty of the Ludwig Maximilians University, Munich, Germany, 17, Ethics, AZ ST JAN, Brugge Oostende, Belgium, AV Ethics, Nr.2247, May 17th, 2018]","['ORG', 'ORG', 'GPE', 'GPE', 'CARDINAL', 'ORG', 'ORG', 'ORG', 'GPE', 'ORG', 'ORG', 'DATE']","[43, 268, 326, 334, 361, 393, 413, 424, 441, 450, 502, 581]","[70, 324, 332, 341, 363, 399, 422, 439, 448, 459, 509, 595]",consent form
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8079727\sections\1_body\2_data_availability_policy\1_p.xml,"Upon request, further data including the study protocol will be shared with other investigators for the purpose of replicating procedures and results. Unidentified participant data may not be shared for legal or ethical reasons. Data cannot be shared publicly because participants did not explicitly consent to the sharing of their data as per the European Union's General Data Protection Regulation and the corresponding German privacy laws. Data are available through the Research Ethics Board of Ludwig Maximilians University, Munich, Germany, for researchers who meet the criteria for access to confidential data.","[the European Union's, General Data Protection Regulation, German, the Research Ethics Board, Ludwig Maximilians University, Munich, Germany]","['ORG', 'ORG', 'NORP', 'ORG', 'ORG', 'GPE', 'GPE']","[344, 365, 422, 470, 499, 530, 538]","[364, 399, 428, 495, 528, 536, 545]",study protocol
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8079727\sections\1_body\8_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Leading ethics committee: Ethics committee of the Medical Faculty of the Ludwig Maximilians University, Munich, Germany; reference number: 17-477 and subsequently by the Ethics committee of AZ ST JAN, Brugge Oostende, Belgium, AV Ethics committee OG 065, BUN: 8049201835209 Int. Nr.2247, which required modifications of the protocol; date of final approval: May 17th, 2018. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.","[the Medical Faculty of the Ludwig Maximilians University, Munich, Germany, 17, Ethics, AZ ST JAN, Brugge Oostende, Belgium, AV Ethics, Nr.2247, May 17th, 2018]","['ORG', 'GPE', 'GPE', 'CARDINAL', 'ORG', 'ORG', 'ORG', 'GPE', 'ORG', 'ORG', 'DATE']","[117, 175, 183, 210, 241, 261, 272, 289, 298, 350, 429]","[173, 181, 190, 212, 247, 270, 287, 296, 307, 357, 443]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8082418\sections\2_back\2_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Ethics Committee of 
 ","[the Ethics Committee of 
 ]",['ORG'],[71],[97],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8093509\sections\1_body\5_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements. The REB at the University of Toronto deemed this project a Quality Improvement (QI) project not requiring formal REB review or approval. It is thus noted that any conclusions made based on this project were not gained through research but through a quality improvement project carried out in a local context.,[the University of Toronto],['ORG'],[320],[345],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8093792\sections\1_body\1_methods\1_study_design\1_p.xml,"This study was conducted on a monocentric cohort of patients included in 2 prospective studies, treated either for ruptured (Patients' Follow-up After Subarachnoid Hemorrhage Caused by Ruptured Intracranial Aneurysms - FUSAC -NCT02879175-) or unruptured intracranial aneurysms (Standardized Long-Term Follow-up of Patients After Endovascular Embolization of a Brain Aneurysm - ANENDOVASC -NCT02878967-) with FD. Our institutional ethics committee approved the two studies.","[2, Subarachnoid Hemorrhage Caused, Ruptured Intracranial Aneurysms - FUSAC, Standardized Long-Term Follow, Patients After Endovascular Embolization of a Brain Aneurysm - ANENDOVASC -NCT02878967-, FD, two]","['CARDINAL', 'PERSON', 'PERSON', 'ORG', 'ORG', 'ORG', 'CARDINAL']","[73, 151, 185, 278, 314, 408, 460]","[74, 181, 224, 307, 401, 410, 463]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8093792\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Comité de protection des personne Île de France III and Comité de protection des personne Île de France IV. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[Comité de, Île de France III, Comité de, Île de France IV]","['ORG', 'ORG', 'ORG', 'ORG']","[71, 105, 127, 161]","[80, 122, 136, 177]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8110698\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the patient for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8112543\sections\1_body\2_results\3_appraisal_of_the_texts\1_p.xml,"The study participants were asked to appraise the text they had been given. The 
 ",[],[],[],[],study participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8112543\sections\1_body\4_limitations\1_p.xml,"This study faces several methodological limitations. First of all, the results are based on a small sample size. The sample lacked a denominator, so we were not able to calculate a response rate. It needs to be emphasized that all the information gathered is based on the self-reported judgement of the study participants themselves. The results should be interpreted with caution due to ceiling effects: the understandability of both texts was very high. Therefore, one cannot investigate the impact of different text styles on comprehensibility, which might affect knowledge and/or behavior. Future research in this area might assess the functional health literacy related to this topic. The ceiling effects might, therefore, have led to an underestimation of effects, particularly because—according to the self-reported appraisal—the humorous text was not judged to be equally as credible as the neutral text.",[First],['ORDINAL'],[53],[58],study participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8112543\sections\1_body\7_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of Bielefeld University. The patients/participants provided their written informed consent to participate in this study.,"[Ethics, Bielefeld University]","['ORG', 'ORG']","[71, 91]","[77, 111]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8113621\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the institutional ethics committee of Shandong Provincial Hospital affiliated to Shandong First Medical University. The patients/participants provided their written informed consent to participate in this study.,"[Shandong Provincial Hospital, Shandong First Medical University]","['ORG', 'ORG']","[109, 152]","[137, 185]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8113621\sections\1_body\5_author_contributions\1_p.xml,"PC and BY designed and performed the study and wrote the paper. PY, JW, and FL collected and analyzed the data. DZ and HJ supervised the clinical research. HJ, BY, and JC revised the manuscript. All authors approved the final manuscript.","[DZ, HJ]","['ORG', 'PERSON']","[112, 119]","[114, 121]",clinical research
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8113695\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Medical Ethics Committee of the Xiangya Hospital and the Ethics Committee of the Third Affiliated Hospital of Soochow University. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[the Medical Ethics Committee, the Xiangya Hospital, the Ethics Committee, the Third Affiliated Hospital of Soochow University]","['ORG', 'ORG', 'ORG', 'ORG']","[71, 103, 128, 152]","[99, 123, 148, 203]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8116530\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Fukuoka University Hospital Ethics Committee. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[Fukuoka University Hospital Ethics Committee],['ORG'],[71],[115],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8116668\sections\1_body\6_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medical Ethics Committee of Huashan Hospital, Fudan University, Shanghai, China. The patients/participants provided their written informed consent to participate in this study.","[Medical Ethics Committee, Huashan Hospital, Fudan University, Shanghai, China]","['ORG', 'ORG', 'ORG', 'GPE', 'GPE']","[71, 99, 117, 135, 145]","[95, 115, 133, 143, 150]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8116698\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of First Affiliatted Hospital of Dalian Medical University. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[Ethics Committee, First Affiliatted Hospital of Dalian Medical University]","['ORG', 'ORG']","[71, 91]","[87, 146]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8117937\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Medical Ethics Committee of our hospital. The patients/participants provided their written informed consent to participate in this study. The animal study was reviewed and approved by Ethics Committee of Xiangya Hospital, Central South University.","[Medical Ethics Committee, Ethics Committee, Xiangya Hospital, Central South University]","['ORG', 'ORG', 'ORG', 'ORG']","[71, 255, 275, 293]","[95, 271, 291, 317]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8119626\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Institutional Review Board Ethics Committee. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,[Institutional Review Board Ethics Committee],['ORG'],[71],[114],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8119993\sections\1_body\6_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8126616\sections\1_body\5_ethics_statement\1_p.xml,Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8129492\sections\1_body\1_materials_and_methods\1_p.xml,"The study was conducted in accordance with the Declaration of Helsinki and approved by the local ethics committee (227-15). All patients gave written informed consent. The results of the study were presented in preliminary format at the International Headache Conference 2017 (
 ","[the Declaration of Helsinki, 227, the International Headache Conference, 2017]","['WORK_OF_ART', 'CARDINAL', 'ORG', 'DATE']","[43, 115, 233, 271]","[70, 118, 270, 275]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8129492\sections\1_body\7_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ludwig Maximilians University Munich (227-15). The patients/participants provided their written informed consent to participate in this study.,"[Ludwig Maximilians University Munich, 227]","['ORG', 'CARDINAL']","[71, 109]","[107, 112]",human participants
