,parsed,entities,labels,position_start,position_end,has_terms
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\7_follow‐up_and_endpoints\1_p.xml,"Patients were followed for 6 months. The primary endpoint was change in TAPSE. Secondary endpoints included changes in St, FAC, LVEF, NT‐proBNP, and 6‐minute walk test distance. In an exploratory analysis, we investigated a correlation of RV function and viability of the IVS.","[6 months, TAPSE, St, FAC, LVEF, RV, IVS]","['DATE', 'ORG', 'GPE', 'ORG', 'GPE', 'ORG', 'ORG']","[27, 72, 119, 123, 128, 239, 272]","[35, 77, 121, 126, 132, 241, 275]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\8_statistical_methods_and_a\1_p.xml,"Based on our previous findings on CD34
 ","[CD34
 ]",['PRODUCT'],[34],[40],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\3_results\1_patient_characteristics\1_p.xml,"Of 60 patients entering the study, 1 patient from the Control group died of sudden cardiac death (14 weeks after enrollment), and 1 patient from the SC Group underwent urgent heart transplantation (20 weeks from enrollment). During follow‐up, there were three hospitalizations for worsening of heart failure in the Control Group and one in the SC Group. At baseline, the SC Group and Controls did not differ in demographic and clinical parameters; all patients were treated with optimized medical management (Table 
 ","[60, 1, Control, 14 weeks, 1, the SC Group, 20 weeks, three, the Control Group, one, the SC Group, the SC Group, Controls, Table 
 ]","['CARDINAL', 'CARDINAL', 'ORG', 'DATE', 'CARDINAL', 'ORG', 'DATE', 'CARDINAL', 'ORG', 'CARDINAL', 'ORG', 'ORG', 'PERSON', 'LAW']","[3, 35, 54, 98, 130, 145, 198, 254, 311, 333, 340, 367, 384, 509]","[5, 36, 61, 106, 131, 157, 206, 259, 328, 336, 352, 379, 392, 517]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\3_results\2_changes_in_right_ventricu\1_p.xml,"At baseline, the two groups did not differ in parameters of right ventricular function. At 6 months, we found a significant improvement in TAPSE, St, and FAC in SC Group but not in Controls, which resulted in significantly higher values of all 3 parameters of RV function in the SC Group when compared with Controls (Fig. 
 ","[two, 6 months, TAPSE, St, FAC, SC Group, Controls, 3, RV, the SC Group, Controls, Fig]","['CARDINAL', 'DATE', 'GPE', 'GPE', 'ORG', 'ORG', 'GPE', 'CARDINAL', 'ORG', 'ORG', 'PERSON', 'PERSON']","[17, 91, 139, 146, 154, 161, 181, 244, 260, 275, 307, 317]","[20, 99, 144, 148, 157, 169, 189, 245, 262, 287, 315, 320]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\4_discussion\1_p.xml,"This is the first clinical trial to date investigating the effects of cell therapy on RV function in DCM. In these patients, we found a significant improvement in parameters of RV function with transendocardial transplantation of cells in the left ventricle. Because the improvements in RV function correlated with increased viability of IVS, ventricular interdependence may represent a potential underlying mechanism for these findings.","[first, RV, DCM, RV, RV, IVS]","['ORDINAL', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG']","[12, 86, 101, 177, 287, 338]","[17, 88, 104, 179, 289, 341]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\4_discussion\6_study_limitations\1_p.xml,"The results of our study are subject to several limitations. The findings of the present study represent an extension of the parent study, with the primary aim to compare the effects of repetitive and single‐dose cell therapy on left ventricular function in patients with nonischemic DCM. The control arm did not receive any placebo procedures. Although, to minimize the bias, echocardiography data were analyzed at the end of the follow‐up period by an independent echosonographer, this does not fully overcome the limitations of an unblinded study. However, the echocardiography data were corroborated by the analysis of electroanatomical mapping, which is a fully automated procedure that generates data on myocardial viability using a computer algorithm performing in an operator‐independent manner. Although our sample size was small, both groups of patients were well matched at baseline. Our patient population included patients with DCM, but no biopsies were performed to exclude secondary cardiomyopathies. Finally, we recognize that patients with DCM are a heterogeneous patient population and dynamic changes in IVS viability and RV function may be multifactorial. In particular, parameters of RV function also may be affected by changes in loading conditions; however, we have found no changes in LV filling pressures or RV size in our study cohort.","[DCM, DCM, DCM, IVS, RV, RV, LV]","['ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'GPE']","[284, 941, 1057, 1123, 1141, 1205, 1309]","[287, 944, 1060, 1126, 1143, 1207, 1311]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\5_conclusion\1_p.xml,"In patients with DCM, CD34
 ","[DCM, CD34
 ]","['ORG', 'PRODUCT']","[17, 22]","[20, 28]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\6_author_contributions\1_p.xml,"S.F. and B.V.: conception and design, provision of study material or patients, collection and/or assembly of data, data analysis and interpretation, manuscript writing; M.J., G.Z., A.C., and G.P.: conception and design, provision of study material or patients, collection and/or assembly of data, data analysis and interpretation.","[S.F., B.V., M.J., G.Z., A.C., G.P.]","['GPE', 'GPE', 'GPE', 'GPE', 'GPE', 'PERSON']","[0, 9, 169, 175, 181, 191]","[4, 13, 173, 179, 185, 195]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\7_disclosures_of_potential_\1_p.xml,The authors indicated no potential conflicts of interest.,[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\0_background\1_p.xml,Hodgkin’s lymphoma (HL) and anaplastic large-cell lymphoma (ALCL) are the two most common tumors expressing CD30. The treatment of HL and ALCL has largely relied on cytotoxic chemotherapy.,"[two, CD30]","['CARDINAL', 'PRODUCT']","[74, 108]","[77, 112]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\0_background\9_p.xml,"Clinical studies involving adults with recurrent or refractory HL or ALCL in Japan and other countries demonstrated the efficacy and safety of SGN-35. Internationally, a clinical study that is being conducted involving adults with recurrent or refractory HL or ALCL suggests its efficacy. Pediatric patients should be given medicines that have been appropriately evaluated for their use. In the past, however, new approved drugs have been used for pediatric patients without the confirmation of safety and efficacy in pediatric patients. Therefore, it is significant to examine the safety and efficacy of SGN-35 in Japanese children.","[Japan, Japanese]","['GPE', 'NORP']","[77, 615]","[82, 623]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\10_pharmacokinetics\1_p.xml,"In a PK analysis set, pharmacokinetic parameters (Cmax, AUC, etc) for serum concentration of the drug will be estimated using non-compartmental analysis. Similarly, the serum concentration of all antibodies and plasma concentration of MMAE will be analyzed. Blood specimens used for evaluation of pharmacokinetics are collected at the time shown in Table 
 ","[MMAE, Table]","['ORG', 'ORG']","[235, 349]","[239, 354]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\1_protocol_digest_of_the_st\1_objectives\1_p.xml,Primary objective is to examine the safety and tolerance of SGN-35 in children with recurrent or refractory CD30-positive HL or sALCL. Accessory objective is to investigate the pharmacokinetics and efficacy of SGN-35 in children with recurrent or refractory CD30-positive HL or sALCL.,[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\1_protocol_digest_of_the_st\2_study_setting_and_protoco\1_p.xml,"This is a single-arm, open-label, multicenter phase I study involving four institutions: Hokkaido University Hospital, St. Marianna University School of Medicine Hospital, National Hospital Organization Nagoya Medical Center, and Kyushu University Hospital. The protocol has been reviewed and approved by institutional review boards of each institutions.","[four, Hokkaido University Hospital, St. Marianna University School of Medicine Hospital, National Hospital Organization Nagoya Medical Center, Kyushu University Hospital]","['CARDINAL', 'ORG', 'ORG', 'ORG', 'ORG']","[70, 89, 119, 172, 230]","[74, 117, 170, 224, 256]",institutional review
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\1_protocol_digest_of_the_st\3_end_points\1_p.xml,Adverse events,[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\1_protocol_digest_of_the_st\4_eligibility_criteria\1_p.xml,Written informed consent regarding participation in this clinical study could be obtained from subjects and/or representatives,[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\1_protocol_digest_of_the_st\5_exclusion_criteria\1_p.xml,Those in whom the chief investigator/investigators considered it difficult to perform this clinical study.,[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\2_treatment_methods\1_p.xml,"SGN-35 is intravenously administered on Day 1 of each cycle (21 days/cycle). After Cycle 2, SGN-35 should be administered − 1 to + 3 days from the established day of administration, excluding cases in which a specific duration is required to achieve recovery from toxicity, appearing from the preceding cycle of SGN-35 therapy, of which the association with the investigational drug cannot be ruled out.","[Day 1, 21 days, Cycle 2, the established day]","['DATE', 'DATE', 'LAW', 'DATE']","[40, 61, 83, 143]","[45, 68, 90, 162]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\3_dose_limiting_toxicity__d\1_p.xml,"DLT should be evaluated from the initial administration of this drug until administration on the first day of administration in Cycle 2. In subjects in whom the appearance of toxicity made this-drug administration in Cycle 2 impossible, and treatment was discontinued, DLT must be evaluated until safety follow-up.","[DLT, the first day, Cycle 2, Cycle 2, DLT]","['ORG', 'DATE', 'LAW', 'LAW', 'ORG']","[0, 93, 128, 217, 269]","[3, 106, 135, 224, 272]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\4_follow_up\1_p.xml,"In subjects treated with this drug, the following assessments should be performed 28 days (7 days) after the final administration if it does not exceed the data cut-off day. These assessments should be conducted before the start of posttreatment. If examinations/observation/surveys are impossible for unavoidable reasons, such as complete withdrawal from this study, drop-out, death, and unfavorable conditions, the reasons must be recorded in original materials, and this study should be completed. In this case, deficits in examination/observation/survey items scheduled 28 days after the final administration are not regarded as deviations from the study protocol.","[28 days, 7 days, 28 days]","['DATE', 'DATE', 'DATE']","[82, 91, 574]","[89, 97, 581]",study protocol
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\5_efficacy_assessment_metho\1_p.xml,Positive findings on FDG-PET.,[FDG-PET],['ORG'],[21],[28],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\6_statistical_analysis\1_analysis_set\1_p.xml,"Those to whom an established dose of SGN-35 was administered in Cycle 1, and in whom observation for DLT assessment was completed.","[Cycle 1, DLT]","['DATE', 'ORG']","[64, 101]","[71, 104]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\7_safety_endpoints\1_p.xml,"The incidence of DLT will be calculated in DLT analysis set. The incidence of adverse events/reactions to the investigational drug will be calculated with respect to events, severity, and grade with safety analysis set.","[DLT, DLT]","['ORG', 'ORG']","[17, 43]","[20, 46]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\8_efficacy_endpoints\1_p.xml,"The ORR, CR rate, and their 95% confidence interval will be calculated in the FAS. To estimate the response duration, PFS, and EFS, the Kaplan-Meier method will be used. Their 95% confidence interval will be calculated with Greenwood’s formula.","[ORR, CR, 95%, FAS, PFS, EFS, Kaplan-Meier, 95%, Greenwood]","['ORG', 'GPE', 'PERCENT', 'ORG', 'PERSON', 'ORG', 'ORG', 'PERCENT', 'PERSON']","[4, 9, 28, 78, 118, 127, 136, 176, 224]","[7, 11, 31, 81, 121, 130, 148, 179, 233]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\1_methods_design\9_interim_analysis_and_moni\1_p.xml,"As it may be difficult to obtain sufficient information useful for efficacy assessment during this clinical study, interim analysis for efficacy assessment will not be conducted.",[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5796474\sections\1_body\2_discussion\1_p.xml,"Pediatric patients should be administered medicines that have been appropriately evaluated for their use. In the past, however, new approved drugs have been used for pediatric patients without assessment of the efficacy and safety in those patients. Clinical studies involving adults with recurrent or refractory HL or ALCL in Japan and other countries demonstrated the efficacy and safety of SGN-35 [
 ",[Japan],['GPE'],[327],[332],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\0_background\1_p.xml,"Despite great advances, relapsed and refractory B cell acute lymphoblastic leukemia (B-ALL) shows unfavorable prognosis, especially for adult patients [
 ",[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\1_methods\1_patient_enrollment_and_ch\1_p.xml,"The trial (
 ",[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\1_methods\2_clinical_protocols\1_p.xml,"Patients underwent an apheresis to obtain sufficient PBMCs for producing 1928zT2 T cells. The manufacture of 1928zT2 was completed in about 14 days. The cells were released for infusion after safety check. All patients received a lymphodepletion conditioning regimen which contained with fludarabine 25 mg/m
 ","[1928zT2, 1928zT2, about 14 days, 25]","['CARDINAL', 'CARDINAL', 'DATE', 'CARDINAL']","[73, 109, 134, 300]","[80, 116, 147, 302]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\1_methods\3_generation_and_expansion_\1_p.xml,"The 1928zT2 T cells were generated as previously described [
 ",[1928zT2],['CARDINAL'],[4],[11],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\1_methods\4_flow_cytometry_of_cd19_ca\1_p.xml,"The percentages of transduced GFP-positive T cells, CD19 on leukemia cells, T cell phenotypes of the patient were determined by flow cytometry. The antibodies for CD3 (APC), CD4 (Percp-cy5.5), CD8 (PE), CD19 (APC), CD20 (PE), and CD22 (Percp-cy5.5) were used. The flow cytometry was performed with a FACSCalibur flow cytometer (BD Biosciences) and analyzed using FlowJo software.","[GFP, CD19, CD3, APC, Percp, CD19, APC, CD20 (PE), CD22, FACSCalibur, FlowJo]","['ORG', 'PERSON', 'LOC', 'ORG', 'GPE', 'PERSON', 'PERSON', 'PRODUCT', 'NORP', 'PRODUCT', 'ORG']","[30, 52, 163, 168, 179, 203, 209, 215, 230, 300, 363]","[33, 56, 166, 171, 184, 207, 212, 224, 234, 311, 369]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\1_methods\5_killing_assays\1_p.xml,"The target cells K562, K562-CD19, and NALM6 were tagged both GFP and luciferase (GL), specifically incubated with GFP T, 1928z T or 1928zT2 T cells at the indicated ratios in triplicate wells in U-bottomed 96-well plates. Viability of target cells was monitored 18 h later by adding 100 dl/well substrate D-luciferin firefly (Life Sciences) resolved at 150 μg/ml. Background luminescence was negligible (< 1% than the signal from the wells with only target cells). The viability percentage was calculated as experimental signal/maximal signal × 100%, and killing percentage was equal to 100 − viability percentage.","[K562-CD19, NALM6, GFP, GFP, 1928z, 1928zT2, 96, 18, 100, Life Sciences, 150, Background, 1%, ×, 100%, 100]","['PRODUCT', 'ORG', 'ORG', 'ORG', 'DATE', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'ORG', 'CARDINAL', 'PERSON', 'PERCENT', 'GPE', 'PERCENT', 'CARDINAL']","[23, 38, 61, 114, 121, 132, 206, 262, 283, 326, 353, 364, 406, 543, 545, 587]","[32, 43, 64, 117, 126, 139, 208, 264, 286, 339, 356, 374, 408, 544, 549, 590]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\1_methods\6_xenograft_models_and_in_v\1_p.xml,"To develop the mouse subcutaneous tumor xenograft model of human extramedullary ALL leukemia [
 ",[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5819207\sections\1_body\1_methods\7_cytokine_measurements_and\1_p.xml,"IL-6 levels in plasma were assessed using enzyme-linked immunosorbent assay (ELISA kit, eBioscience, USA) according to the manufacturer’s instructions. The immune-related cytokines were analyzed using Luminex MAGPIX system (Luminex Corp., Austin, TX) according to the manufacturers’ specifications. Samples were detected in triplicate relative to standards supplied by the manufacturer and analyzed for significant differences between different groups.","[IL-6, ELISA, eBioscience, USA, Luminex, Luminex Corp., Austin, TX]","['ORG', 'NORP', 'ORG', 'ORG', 'ORG', 'PERSON', 'ORG']","[0, 77, 88, 201, 224, 239, 247]","[4, 82, 104, 208, 237, 245, 249]",False
