,parsed,entities,labels,position_start,position_end,has_terms
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5934787\sections\1_body\1_methods\4_study_design_and_treatmen\1_p.xml,"Once subjects signed the informed consent, and were found eligible, there was a 1 month “wash in” period, during which subjects adjusted their exercise level in order to achieve 150 min of moderate-intensity physical activity per week. Diet counseling was also provided. At visit 1, baseline values of the following measures were gathered: blood biochemistries, vitals, biophysical parameters, resting energy expenditure (REE), arterial stiffness measures, and endothelial progenitor cells analysis. Subjects were then randomized to one of two arms: saxagliptin 5 mg/day or placebo, in a blinded manner. Subjects took either saxagliptin (n = 21) or placebo (n = 21) for 12 weeks, while engaging in 150 min of moderate intensity physical activity per week. Visits were conducted every 6 weeks, ending at week 12 (visit 3).","[150, 1, one, two, 5, 21, 21, 12 weeks, 150, 6 weeks, week 12, 3]","['CARDINAL', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'DATE', 'DATE', 'DATE', 'CARDINAL', 'DATE', 'DATE', 'CARDINAL']","[178, 280, 533, 540, 562, 642, 662, 670, 698, 784, 803, 818]","[181, 281, 536, 543, 563, 644, 664, 678, 701, 791, 810, 819]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5943466\sections\1_body\1_materials_and_methods\1_patient_population\1_p.xml,"This was a randomized, open‐label, multicenter, dose‐ranging, active‐controlled study of Rolontis versus pegfilgrastim in patients aged ≥18 years with breast cancer who were candidates for adjuvant or neoadjuvant treatment with TC chemotherapy (NCT01724866). Other key inclusion criteria included the willingness and ability to provide written informed consent; Eastern Cooperative Oncology Group (ECOG) performance status ≤2; adequate bone marrow function before the start of chemotherapy (ANC ≥1.5 × 10
 ","[Rolontis, ≥18 years, NCT01724866, Eastern Cooperative Oncology Group, ANC]","['ORG', 'DATE', 'GPE', 'ORG', 'ORG']","[89, 136, 245, 362, 491]","[97, 145, 256, 396, 494]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5951114\sections\1_body\1_materials_and_methods\3_mechanism_of_action_of_cy\1_p.xml,"PBMCs were isolated from venous blood of healthy adult participants following informed consent per approved institutional protocol (McGill University). CD4 memory T cells were obtained by magnetic activated cell sorting with negative selection, which depletes CD45RA, CD8, CD14, CD16, CD19, CD56, CD36, CD123, anti-TCRγδ, and CD235a (glycophorin A) according to manufacturer’s instructions (Miltenyi Biotec, Auburn, CA, USA). The resulting phenotype was CD3
 ","[McGill University, CD14, CD16, CD19, CD56, CD36, CD123, anti-TCRγδ, Miltenyi Biotec, USA]","['ORG', 'PERSON', 'ORG', 'PERSON', 'ORG', 'ORG', 'PRODUCT', 'ORG', 'PERSON', 'GPE']","[132, 273, 279, 285, 291, 297, 303, 310, 391, 420]","[149, 277, 283, 289, 295, 301, 308, 320, 406, 423]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5951114\sections\1_body\5_ethics_statement\1_p.xml,"Samples were collected, as specified in the immune monitoring sub study, from patients enrolled in the trial “Autologous Stem Cell Transplant for Multiple Sclerosis (MS/BMT)” (NCT01099930) following informed consent as approved by the institutional review boards. PBMCs were isolated from healthy donors following informed consent per approved institutional protocol (McGill University).","[Autologous Stem Cell Transplant for Multiple Sclerosis (MS/BMT, McGill University]","['WORK_OF_ART', 'ORG']","[110, 368]","[172, 385]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5983708\sections\1_body\3_4__materials_and_methods\1_4_1__patients\1_p.xml,"The study was designed as a prospective, open-label, nonrandomized clinical trial in a single center for subjects with ALS. The trial (international number: NCT02193893) was approved (approval code: KB-0012/06/10; 25 January 2010) by the Ethics Committee of the Pomeranian Medical University in Szczecin (Poland) and performed in accordance with the Declaration of Helsinki; all patients provided written informed consent. A total of 12 patients, four females and eight males, between 21 and 65 years old (49.7 ± 13.08), with sporadic ALS according to the El Escorial Revised Criteria [
 ","[ALS, NCT02193893, KB-0012/06/10, 25 January 2010, the Ethics Committee of, the Pomeranian Medical University in Szczecin (, Poland, the Declaration of Helsinki, 12, four, eight, between 21 and 65 years old, 49.7, 13.08, ALS, the El Escorial Revised Criteria]","['ORG', 'ORG', 'ORG', 'DATE', 'ORG', 'ORG', 'GPE', 'WORK_OF_ART', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'DATE', 'CARDINAL', 'CARDINAL', 'ORG', 'ORG']","[119, 157, 199, 214, 234, 258, 305, 346, 434, 447, 464, 477, 506, 513, 535, 552]","[122, 168, 212, 229, 257, 305, 311, 373, 436, 451, 469, 504, 510, 518, 538, 584]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5983708\sections\1_body\3_4__materials_and_methods\3_4_3__cells\1_p.xml,"BM from the patients was obtained after informed consent was given. BM samples (40–50 mL) were aspirated in local anesthesia, from the posterior iliac crest of recruited patients and subsequently resuspended in a collecting medium (phosphate-buffered saline (PBS), pH 7.2) and heparin (20 U/mL; Gibco, Waltham, MA, USA). BM samples were lysed in BD PharmLyse Lysing Solution (BD Biosciences, San Jose, CA, USA) for 15 min at room temperature in the dark and washed twice in phosphate-buffered saline. The obtained suspension of BM nucleated cells (NCs) was subjected to immunomagnetic separation procedures (MiniMACS, Miltenyi Biotec, Auburn, AL, USA). Lineage-negative SPCs (7.89 ± 5.77 × 10
 ","[40–50 mL, PBS, 7.2, 20, U/mL, Gibco, Waltham, MA, USA, BD PharmLyse Lysing Solution, San Jose, USA, 15, Miltenyi Biotec, USA, 7.89, 10]","['MONEY', 'ORG', 'CARDINAL', 'CARDINAL', 'ORG', 'ORG', 'GPE', 'GPE', 'GPE', 'ORG', 'GPE', 'GPE', 'CARDINAL', 'PERSON', 'GPE', 'CARDINAL', 'CARDINAL']","[80, 259, 268, 286, 289, 295, 302, 311, 315, 346, 392, 406, 415, 618, 647, 676, 690]","[88, 262, 271, 288, 293, 300, 309, 313, 318, 374, 400, 409, 417, 633, 650, 680, 692]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6042450\sections\1_body\1_methods\1_study_enrollment_and_incl\1_p.xml,"These findings are the mid-term results of a prospective, experimental, non-controlled, phase I clinical trial supported by investigator-driven funding. The inclusion criteria included secondary infertility or embryo transfer failure caused by recurrent IUA, a desire to be pregnant, an age of less than 45 years, and agreeing to participate in the study. Patients were excluded from recruitment if they had any of the following issues: having hysteroscopy contraindications, chromosome karyotype abnormalities, congenital uterine malformations, severe adenomyosis, contraindications to pregnancy, contraindications to estradiol treatment, medical history of pelvic malignant tumors, previous experience with pelvic radiotherapy. For patients who met the indications for stem cell therapy, written informed consent was obtained. Patients with recurrent IUA were diagnosed according to their history profiles, and three experienced gynecologists at the Drum Tower Hospital performed hysteroscopy examinations for severity classification using the American Fertility Society scoring method (The American Fertility Society, 1988) during the screening process.","[IUA, IUA, three, the Drum Tower Hospital, the American Fertility Society, The American Fertility Society, 1988]","['ORG', 'ORG', 'CARDINAL', 'FAC', 'ORG', 'ORG', 'DATE']","[254, 853, 913, 948, 1042, 1089, 1121]","[257, 856, 918, 971, 1072, 1119, 1125]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6042555\sections\1_body\3_ethics_and_dissemination\1_p.xml,"A waiver of informed consent by prescribers and patients was granted under the condition to provide an information leaflet to patients in the participating wards. Several publications in peer-reviewed journals are planned from this trial: these will include the description of the development of the intervention and main findings of the trial. Furthermore, the findings will be presented at national and international conferences.",[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6048892\sections\1_body\1_methods_design\3_inclusion_criteria\1_p.xml,Written informed consent (must be available before enrolment in the trial),[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6048892\sections\1_body\1_methods_design\5_assessment_of_the_primary\9_p.xml,"For the last patient in, the final study visit will be 12 months after baseline. This is considered the final study visit (last patient out). All other patients will be followed regularly as described in detail until death or until 12 months after baseline. Beyond that, all patients can be followed within routine clinical visits according to national guidelines and survival and progression data will be documented until ‘last patient out’. If death occurs at less than 12 months or patients leave the study prior to 12 months, they will be still included into the intention-to-treat population.","[12 months, 12 months, 12 months]","['DATE', 'DATE', 'DATE']","[55, 232, 519]","[64, 241, 528]",national guidelines
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6048892\sections\1_body\1_methods_design\9_ethical_issues__informati\1_p.xml,"The study protocol, Patient Information sheet, and Declaration of Informed Consent was approved by the Heidelberg University Ethics Committee (S-470/2017). The procedures described in the submitted study protocol regarding the performance, evaluation, and documentation of this study has been selected in such a way that the principles of the Good Clinical Practice (GCP) guidelines are observed. The regulations regarding medical confidentiality and data protection are fulfilled. Informed consent will be obtained from all participants in the study.","[Patient Information, the Heidelberg University Ethics Committee, the Good Clinical Practice]","['ORG', 'ORG', 'ORG']","[20, 99, 339]","[39, 141, 365]",study protocol
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6048892\sections\1_body\2_discussion\1_p.xml,"The primary aim of this trial is to exploratively investigate the effect of SRS compared to WBRT in patients with BM from SCLC. Currently, according to national guidelines, the recommendation for patients with BM from SCLC, regardless of the number of BM, is WBRT [
 ","[SRS, WBRT, SCLC, SCLC]","['ORG', 'ORG', 'GPE', 'DATE']","[76, 92, 122, 218]","[79, 96, 126, 222]",national guidelines
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6050722\sections\1_body\1_methods\1_study_design_and_patient_\1_p.xml,"In this study, a total of 726 patients were enrolled at Xiangya Hospital, Central South University between May 2009 and Feb 2017. This study was approved by the Ethics Committee of Institute of Clinical Pharmacology of Central South University (No. CTXY-120025-2) and conducted in compliance with the provisions of the Declaration of Helsinki (Chinese Clinical Trial Register: ChiCTR-PPC-14005297). All patients provided written informed consent that explicitly included genetic information sharing with qualified investigators before enrollment.","[726, Xiangya Hospital, Central South University, May 2009, Feb 2017, the Ethics Committee of Institute of Clinical Pharmacology of Central South University, the Declaration of Helsinki]","['CARDINAL', 'ORG', 'ORG', 'DATE', 'DATE', 'ORG', 'WORK_OF_ART']","[26, 56, 74, 107, 120, 157, 315]","[29, 72, 98, 115, 128, 243, 342]",informed consent
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6055619\sections\1_body\5_conflict‐of‐interest_disc\1_p.xml,"P.G.R. reports advisory board participation for Celgene, Novartis and Takeda. C.C.H. reports research funding from Takeda, Celgene, ARNO Therapeutics, Janssen Pharmaceuticals, Karyopharm and Merck, and advisory board participation for Thrassos and InCyte. C.A.R. reports independent review committee membership for Millennium/Takeda clinical trial NCT01564537, advisory committee membership for Millennium, and consultancy fees from Celgene and Bristol Myers Squibb. D.H.V. reports stock ownership in Amgen, and honoraria from Celgene, Takeda, Janssen and Amgen. J.G.B. reports research funding from AbbVie, Acetylon, Amgen, Bluebird, Bristol Myers Squibb, Calithera, Celgene, Constellation, Curis, Epizyme, Janssen, Karyopharm, Kesios, Novartis, Onyx, Takeda and Tragara. M.L. reports research funding from Celgene and Takeda, and advisory board participation for Takeda. A.C. reports research funding from and advisory board participation for Millennium/Takeda, Celgene, Array Bio Pharma, Novartis Pharmaceuticals and Onyx, research funding from Janssen Pharmaceuticals and Bristol Myers Squibb, and consultancy fees from Janssen Pharmaceuticals and Bristol Myers Squibb. S.D.S. reports research funding from Seattle Genetics, Merck Sharp and Dohme Corp, Janssen Research and Development, LLC, Acerta Pharma BV, Pharmacyclics, Genentech and Portola Pharmaceuticals. N.R. reports consultancy for Onyx, Amgen, Millennium and Celgene. C.B., N.G. and D.B. report employment by Millennium Pharmaceuticals Inc., a wholly owned subsidiary of Takeda Pharmaceutical Company Limited. E.L. reports previous employment by Millennium Pharmaceuticals Inc., a wholly owned subsidiary of Takeda Pharmaceutical Company Limited. A.D.B. and J.E. report stock ownership in and employment by Millennium Pharmaceuticals Inc., a wholly owned subsidiary of Takeda Pharmaceutical Company Limited. R.B. reports honoraria from Celgene and research funding (to his institution) from Celgene, Takeda, Karyopharm, Merck, Bristol Myers Squibb, Novartis and Signal Genetics. M.H. and D.L. declare no competing financial interests.","[Takeda, C.C.H., Janssen Pharmaceuticals, Karyopharm, Merck, Thrassos, InCyte, C.A.R., Millennium/Takeda, NCT01564537, Millennium, Bristol Myers Squibb, Amgen, Janssen, Amgen, AbbVie, Acetylon, Amgen, Bluebird, Bristol Myers Squibb, Calithera, Karyopharm, Kesios, Takeda, Tragara, M.L., Takeda, Takeda, A.C., Millennium/Takeda, Celgene, Janssen Pharmaceuticals, Bristol Myers Squibb, Janssen Pharmaceuticals, Bristol Myers Squibb, S.D.S., Seattle Genetics, Merck Sharp, Dohme Corp, Janssen Research and Development, LLC, Acerta Pharma BV, Pharmacyclics, Genentech, Portola Pharmaceuticals, N.R., Onyx, C.B., N.G., D.B., Millennium Pharmaceuticals Inc., Takeda Pharmaceutical Company Limited, E.L., Millennium Pharmaceuticals Inc., Takeda Pharmaceutical Company Limited, J.E., Millennium Pharmaceuticals Inc., Takeda Pharmaceutical Company Limited, R.B., Takeda, Karyopharm, Merck, Bristol Myers Squibb, Novartis, Signal Genetics, M.H., D.L.]","['PERSON', 'ORG', 'ORG', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'ORG', 'PRODUCT', 'EVENT', 'ORG', 'ORG', 'PERSON', 'ORG', 'ORG', 'PERSON', 'ORG', 'PERSON', 'ORG', 'ORG', 'GPE', 'GPE', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'ORG', 'PERSON', 'ORG', 'ORG', 'ORG', 'GPE', 'ORG', 'ORG', 'GPE', 'ORG', 'ORG', 'ORG', 'PERSON', 'ORG', 'ORG', 'PERSON', 'ORG', 'ORG', 'GPE', 'PERSON', 'PERSON', 'GPE', 'ORG', 'ORG', 'ORG', 'PERSON', 'GPE']","[70, 78, 151, 176, 191, 235, 248, 256, 315, 348, 395, 445, 501, 544, 556, 600, 608, 618, 625, 635, 657, 717, 729, 753, 764, 773, 820, 865, 873, 945, 1048, 1076, 1124, 1152, 1174, 1211, 1229, 1245, 1257, 1291, 1296, 1314, 1329, 1343, 1368, 1397, 1434, 1440, 1449, 1475, 1537, 1576, 1612, 1674, 1724, 1773, 1835, 1874, 1966, 1974, 1986, 1993, 2015, 2028, 2045, 2054]","[76, 84, 174, 186, 196, 243, 254, 262, 332, 359, 405, 465, 506, 551, 561, 606, 616, 623, 633, 655, 666, 727, 735, 759, 771, 777, 826, 871, 877, 971, 1071, 1096, 1147, 1172, 1180, 1227, 1240, 1255, 1289, 1294, 1312, 1327, 1338, 1366, 1372, 1401, 1438, 1444, 1453, 1506, 1574, 1580, 1643, 1711, 1728, 1804, 1872, 1878, 1972, 1984, 1991, 2013, 2023, 2043, 2049, 2058]",review committee
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC6057940\sections\1_body\3_methods\17_patients\1_p.xml,"Patients in this study were enrolled in the GEICAM/2012-12 (EDALINE) clinical trial (ClinicalTrials.gov Identifier: NCT02027376); a single-arm, open-label, phase I, 3 + 3 dose escalation study in which patients with TNBC were treated with the SMOi Sonidegib (LDE-225) in combination with docetaxel to determine the MTD and the Recommended Phase II Dose (RP2D), as the primary objective. Written informed consent was obtained from all patients and documented before performing any protocol-specific procedure. The study was conducted in accordance with the International Conference on Harmonization Good Clinical Practice Guidelines (ICH GCP), the Declaration of Helsinki and applicable local regulatory requirements and laws. The protocol was approved by the Institutional Review Board and the Ethics Committee of all the participating sites (Hospital General Universitario Gregorio Marañón, Hospital Universitario Clínico San Carlos, Complejo Hospitalario Universitario A Coruña, Hospital Universitario Virgen del Rocío, Hospital Universitario Virgen de la Victoria), according to the requirements of the Spanish regulations (GEICAM/2012-12; clinicaltrials.gov identifier: NCT02027376). Eligible patients, with no more than three previous lines of chemotherapy for metastatic disease were treated with 21-day cycles of intravenous docetaxel 75 mg/m
 ","[3, TNBC, MTD, the International Conference on Harmonization Good Clinical Practice Guidelines, the Declaration of Helsinki, the Institutional Review Board, the Ethics Committee, Hospital, Marañón,, Complejo Hospitalario Universitario, Virgen del Rocío, Hospital Universitario Virgen de la Victoria, Spanish, GEICAM/2012-12, no more than three, 21-day, 75]","['CARDINAL', 'ORG', 'ORG', 'ORG', 'WORK_OF_ART', 'ORG', 'ORG', 'ORG', 'ORG', 'PERSON', 'ORG', 'NORP', 'ORG', 'CARDINAL', 'DATE', 'CARDINAL']","[165, 216, 315, 552, 643, 755, 790, 843, 883, 935, 1004, 1106, 1127, 1212, 1303, 1342]","[166, 220, 318, 631, 670, 785, 810, 851, 891, 970, 1066, 1113, 1141, 1230, 1309, 1344]",informed consent
