,htmllinks,pdflinks,journaltitle,authorinfo,title
PMC7814264,https://europepmc.org/articles/PMC7814264,https://europepmc.org/articles/PMC7814264?pdf=render,Pharmaceutical medicine,Bedenkov A,Customer Centricity in Medical Affairs Needs Human-centric Artificial Intelligence.
PMC7450041,https://europepmc.org/articles/PMC7450041,https://europepmc.org/articles/PMC7450041?pdf=render,Current hypertension reports,,AI (Artificial Intelligence) and Hypertension Research.
PMC7595751,https://europepmc.org/articles/PMC7595751,,Journal of medical Internet research,Chen J,Artificial Intelligence for COVID-19: Rapid Review.
PMC7841474,https://europepmc.org/articles/PMC7841474,https://europepmc.org/articles/PMC7841474?pdf=render,Practical neurology,Auger SD,"Big data, machine learning and artificial intelligence: a neurologist's guide."
PMC7366843,https://europepmc.org/articles/PMC7366843,https://europepmc.org/articles/PMC7366843?pdf=render,Frontiers in medicine,Chu YS,Artificial Intelligence in Cutaneous Oncology.
PMC7846756,https://europepmc.org/articles/PMC7846756,https://europepmc.org/articles/PMC7846756?pdf=render,Nature communications,Goh KH,Artificial intelligence in sepsis early prediction and diagnosis using unstructured data in healthcare.
PMC7811741,https://europepmc.org/articles/PMC7811741,https://europepmc.org/articles/PMC7811741?pdf=render,Systematic reviews,Pepic I,Early detection of sepsis using artificial intelligence: a scoping review protocol.
PMC7682942,https://europepmc.org/articles/PMC7682942,https://europepmc.org/articles/PMC7682942?pdf=render,Cureus,Gampala S,Is Artificial Intelligence the New Friend for Radiologists? A Review Article.
PMC7716173,,,American journal of cancer research,Wang Y,Application of artificial intelligence to the diagnosis and therapy of colorectal cancer.
PMC7738040,https://europepmc.org/articles/PMC7738040,https://europepmc.org/articles/PMC7738040?pdf=render,Medicine,Feduniw S,Application of artificial intelligence in screening for adverse perinatal outcomes: A protocol for systematic review.
PMC7647646,https://europepmc.org/articles/PMC7647646,https://europepmc.org/articles/PMC7647646?pdf=render,Plastic and reconstructive surgery. Global open,Thomas PBM,An Artificial Intelligence Approach to the Assessment of Abnormal Lid Position.
PMC7798060,,,"Information and Communication Technologies in Tourism 2021Proceedings of the ENTER 2021 eTourism Conference, January 19–22, 2021",Wörndl W,How Artificial Intelligence Will Change the Future of Tourism Industry: The Practice in China
PMC7378532,https://europepmc.org/articles/PMC7378532,https://europepmc.org/articles/PMC7378532?pdf=render,Frontiers in pharmacology,Sessa M,Artificial Intelligence in Pharmacoepidemiology: A Systematic Review. Part 1-Overview of Knowledge Discovery Techniques in Artificial Intelligence.
PMC7463275,https://europepmc.org/articles/PMC7463275,https://europepmc.org/articles/PMC7463275?pdf=render,Computers in human behavior,Ameen N,Customer experiences in the age of artificial intelligence.
PMC7563580,https://europepmc.org/articles/PMC7563580,https://europepmc.org/articles/PMC7563580?pdf=render,Academic radiology,Lindqwister AL,AI-RADS: An Artificial Intelligence Curriculum for Residents.
PMC7504871,https://europepmc.org/articles/PMC7504871,https://europepmc.org/articles/PMC7504871?pdf=render,BMC geriatrics,,Are we ready for artificial intelligence health monitoring in elder care?
PMC7789896,https://europepmc.org/articles/PMC7789896,https://europepmc.org/articles/PMC7789896?pdf=render,Environmental science and pollution research international,Guo Q,Prediction of the confirmed cases and deaths of global COVID-19 using artificial intelligence.
PMC7083545,,,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,,Artificial intelligence isn't.
PMC7086098,https://europepmc.org/articles/PMC7086098,https://europepmc.org/articles/PMC7086098?pdf=render,Turkish journal of ophthalmology,Keskinbora K,Artificial Intelligence and Ophthalmology
PMC7683624,https://europepmc.org/articles/PMC7683624,https://europepmc.org/articles/PMC7683624?pdf=render,Insights into imaging,Cheng CT,Artificial intelligence-based education assists medical students' interpretation of hip fracture.
PMC7814945,https://europepmc.org/articles/PMC7814945,https://europepmc.org/articles/PMC7814945?pdf=render,Computational and mathematical methods in medicine,Qiu WR,Analyzing Surgical Treatment of Intestinal Obstruction in Children with Artificial Intelligence.
PMC7602532,https://europepmc.org/articles/PMC7602532,https://europepmc.org/articles/PMC7602532?pdf=render,Journal of clinical medicine,Goyal H,Scope of Artificial Intelligence in Screening and Diagnosis of Colorectal Cancer.
PMC7476646,,,Electronic Markets,Neuhofer B,The impact of artificial intelligence on event experiences: a scenario technique approach
PMC7825660,https://europepmc.org/articles/PMC7825660,https://europepmc.org/articles/PMC7825660?pdf=render,Journal of personalized medicine,Koteluk O,How Do Machines Learn? Artificial Intelligence as a New Era in Medicine.
PMC7556883,https://europepmc.org/articles/PMC7556883,https://europepmc.org/articles/PMC7556883?pdf=render,APL bioengineering,Segato A,Artificial intelligence for brain diseases: A systematic review.
PMC7640807,https://europepmc.org/articles/PMC7640807,,Indian journal of dermatology,Basu K,Artificial Intelligence: How is It Changing Medical Sciences and Its Future?
PMC7788739,https://europepmc.org/articles/PMC7788739,https://europepmc.org/articles/PMC7788739?pdf=render,BMC gastroenterology,Decharatanachart P,Application of artificial intelligence in chronic liver diseases: a systematic review and meta-analysis.
PMC7513565,https://europepmc.org/articles/PMC7513565,https://europepmc.org/articles/PMC7513565?pdf=render,BMJ health & care informatics,Mathur P,In response to 'The clinical artificial intelligence department: a prerequisite for success'.
PMC7550314,https://europepmc.org/articles/PMC7550314,https://europepmc.org/articles/PMC7550314?pdf=render,Science and engineering ethics,Farisco M,Towards Establishing Criteria for the Ethical Analysis of Artificial Intelligence.
PMC7522739,https://europepmc.org/articles/PMC7522739,https://europepmc.org/articles/PMC7522739?pdf=render,The Science of the total environment,,Artificial intelligence in the water domain: Opportunities for responsible use.
PMC7867819,,,Journal of thoracic disease,Thoenes M,Narrative review of the role of artificial intelligence to improve aortic valve disease management.
PMC7702141,https://europepmc.org/articles/PMC7702141,https://europepmc.org/articles/PMC7702141?pdf=render,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,Drukker L,Introduction to artificial intelligence in ultrasound imaging in obstetrics and gynecology.
PMC7341466,https://europepmc.org/articles/PMC7341466,https://europepmc.org/articles/PMC7341466?pdf=render,Emergency radiology,Moulik SK,Applications of artificial intelligence in the emergency department.
PMC7788118,https://europepmc.org/articles/PMC7788118,https://europepmc.org/articles/PMC7788118?pdf=render,EJNMMI research,Pfaehler E,Repeatability of two semi-automatic artificial intelligence approaches for tumor segmentation in PET.
PMC7504252,https://europepmc.org/articles/PMC7504252,https://europepmc.org/articles/PMC7504252?pdf=render,World journal of gastroenterology,Lui TKL,Is artificial intelligence the final answer to missed polyps in colonoscopy?
PMC7394756,,,Journal of oral biology and craniofacial research,Tandon D,Present and future of artificial intelligence in dentistry.
PMC7584056,https://europepmc.org/articles/PMC7584056,https://europepmc.org/articles/PMC7584056?pdf=render,World journal of gastroenterology,Huang LM,Artificial intelligence technique in detection of early esophageal cancer.
PMC7888348,https://europepmc.org/articles/PMC7888348,https://europepmc.org/articles/PMC7888348?pdf=render,Future medicinal chemistry,Bung N,<i>De novo</i> design of new chemical entities for SARS-CoV-2 using artificial intelligence.
PMC7795119,https://europepmc.org/articles/PMC7795119,https://europepmc.org/articles/PMC7795119?pdf=render,International journal of environmental research and public health,Lee D,Application of Artificial Intelligence-Based Technologies in the Healthcare Industry: Opportunities and Challenges.
PMC7812848,,,Methodist DeBakey cardiovascular journal,Seetharam K,Artificial Intelligence and Machine Learning in Cardiovascular Imaging.
PMC7597311,https://europepmc.org/articles/PMC7597311,https://europepmc.org/articles/PMC7597311?pdf=render,"Entropy (Basel, Switzerland)",Goh RY,Hybrid Harmony Search-Artificial Intelligence Models in Credit Scoring.
PMC7754595,https://europepmc.org/articles/PMC7754595,https://europepmc.org/articles/PMC7754595?pdf=render,BMC medicine,Xue P,Development and validation of an artificial intelligence system for grading colposcopic impressions and guiding biopsies.
PMC7769066,https://europepmc.org/articles/PMC7769066,https://europepmc.org/articles/PMC7769066?pdf=render,Radiology,,Artificial Intelligence of COVID-19 Imaging: A Hammer in Search of a Nail.
PMC7783404,https://europepmc.org/articles/PMC7783404,https://europepmc.org/articles/PMC7783404?pdf=render,Frontiers in neurorobotics,Deng L,Artificial Intelligence-Based Application to Explore Inhibitors of Neurodegenerative Diseases.
PMC7795926,https://europepmc.org/articles/PMC7795926,https://europepmc.org/articles/PMC7795926?pdf=render,"Sensors (Basel, Switzerland)",Flores TKS,Indirect Feedback Measurement of Flow in a Water Pumping Network Employing Artificial Intelligence.
PMC7798382,https://europepmc.org/articles/PMC7798382,https://europepmc.org/articles/PMC7798382?pdf=render,SN computer science,Zwakman DS,Usability Evaluation of Artificial Intelligence-Based Voice Assistants: The Case of Amazon Alexa.
PMC7766857,https://europepmc.org/articles/PMC7766857,https://europepmc.org/articles/PMC7766857?pdf=render,"Sensors (Basel, Switzerland)",Minea M,Developing a Solution for Mobility and Distribution Analysis Based on Bluetooth and Artificial Intelligence.
PMC7771783,https://europepmc.org/articles/PMC7771783,https://europepmc.org/articles/PMC7771783?pdf=render,Journal of the American College of Emergency Physicians open,Carlile M,Deployment of artificial intelligence for radiographic diagnosis of COVID-19 pneumonia in the emergency department.
PMC7786371,https://europepmc.org/articles/PMC7786371,https://europepmc.org/articles/PMC7786371?pdf=render,Frontiers in cardiovascular medicine,Seetharam K,The Role of Artificial Intelligence in Cardiovascular Imaging: State of the Art Review.
PMC7647434,https://europepmc.org/articles/PMC7647434,https://europepmc.org/articles/PMC7647434?pdf=render,Journal of the Chinese Medical Association : JCMA,Hwang DK,Optical coherence tomography-based diabetic macula edema screening with artificial intelligence.
PMC7518439,https://europepmc.org/articles/PMC7518439,https://europepmc.org/articles/PMC7518439?pdf=render,NPJ digital medicine,Meskó B,A short guide for medical professionals in the era of artificial intelligence.
PMC7783473,https://europepmc.org/articles/PMC7783473,https://europepmc.org/articles/PMC7783473?pdf=render,EXCLI journal,Joy Mathew C,Artificial Intelligence and its future potential in lung cancer screening.
PMC7744141,https://europepmc.org/articles/PMC7744141,,Journal of medical Internet research,Abd-Alrazaq A,Artificial Intelligence in the Fight Against COVID-19: Scoping Review.
PMC7864479,,,NEJM catalyst innovations in care delivery,Hussain A,Opportunities for Artificial Intelligence–Enabled Social Media Analysis of Public Attitudes Toward Covid-19 Vaccines
PMC7747384,https://europepmc.org/articles/PMC7747384,https://europepmc.org/articles/PMC7747384?pdf=render,Journal of cheminformatics,Tetko IV,From Big Data to Artificial Intelligence: chemoinformatics meets new challenges.
PMC7779763,https://europepmc.org/articles/PMC7779763,https://europepmc.org/articles/PMC7779763?pdf=render,Frontiers in oncology,Nishida N,Artificial Intelligence in Medical Imaging and Its Application in Sonography for the Management of Liver Tumor.
PMC7500917,https://europepmc.org/articles/PMC7500917,https://europepmc.org/articles/PMC7500917?pdf=render,The Lancet. Digital health,Zhou Y,Artificial intelligence in COVID-19 drug repurposing.
PMC7889018,,,JACC. Case reports,Cheema B,Artificial Intelligence–Enabled POCUS in the COVID-19 ICU : A New Spin on Cardiac Ultrasound
PMC7726044,https://europepmc.org/articles/PMC7726044,https://europepmc.org/articles/PMC7726044?pdf=render,Insights into imaging,Kelly B,"Radiology artificial intelligence, a systematic evaluation of methods (RAISE): a systematic review protocol."
PMC7762640,https://europepmc.org/articles/PMC7762640,https://europepmc.org/articles/PMC7762640?pdf=render,BioMed research international,Muscogiuri G,Artificial Intelligence in Coronary Computed Tomography Angiography: From Anatomy to Prognosis.
PMC7875521,,,Ophthalmology,Campbell JP,Reporting Guidelines for Artificial Intelligence in Medical Research.
PMC7746175,https://europepmc.org/articles/PMC7746175,https://europepmc.org/articles/PMC7746175?pdf=render,PloS one,Fidalgo-Herrera AJ,Artificial intelligence prediction of the effect of rehabilitation in whiplash associated disorder.
PMC7738208,https://europepmc.org/articles/PMC7738208,https://europepmc.org/articles/PMC7738208?pdf=render,Journal of biomolecular structure & dynamics,Kaushal K,Emerging role of artificial intelligence in therapeutics for COVID-19: a systematic review.
PMC7873524,https://europepmc.org/articles/PMC7873524,https://europepmc.org/articles/PMC7873524?pdf=render,Frontiers in medicine,Cossio M,Would the Use of Artificial Intelligence in COVID-19 Patient Management Add Value to the Healthcare System?
PMC7448175,https://europepmc.org/articles/PMC7448175,,Journal of medical Internet research,Iqbal U,How Can Artificial Intelligence Make Medicine More Preemptive?
PMC7725219,https://europepmc.org/articles/PMC7725219,https://europepmc.org/articles/PMC7725219?pdf=render,Journal of translational medicine,Subramanian M,Precision medicine in the era of artificial intelligence: implications in chronic disease management.
PMC7729607,https://europepmc.org/articles/PMC7729607,https://europepmc.org/articles/PMC7729607?pdf=render,"Sensors (Basel, Switzerland)",Lytras MD,Moving Towards Intelligent Transportation via Artificial Intelligence and Internet-of-Things.
PMC7235856,https://europepmc.org/articles/PMC7235856,https://europepmc.org/articles/PMC7235856?pdf=render,"Diagnostics (Basel, Switzerland)",Brady AP,Artificial Intelligence in Radiology-Ethical Considerations.
PMC7485162,https://europepmc.org/articles/PMC7485162,https://europepmc.org/articles/PMC7485162?pdf=render,Clinical Medicine Insights. Cardiology,Mathur P,"Artificial Intelligence, Machine Learning, and Cardiovascular Disease."
PMC7482590,https://europepmc.org/articles/PMC7482590,https://europepmc.org/articles/PMC7482590?pdf=render,Archives of gerontology and geriatrics,,Gerontechnology and artificial intelligence: Better care for older people.
PMC7745984,https://europepmc.org/articles/PMC7745984,https://europepmc.org/articles/PMC7745984?pdf=render,PloS one,Straw I,Artificial Intelligence in mental health and the biases of language based models.
